TaxonName,Genus,Species,InfraType1,InfraName1,InfraType2,InfraName2,InfraType3,InfraName3,FamilyEx,AccCount,CountryCount,ImageCount
× Angulocaste × Lycaste uniflora × skinneri,× Angulocaste,× Lycaste uniflora × skinneri,,,,,,,Orchidaceae,1,0,0
× Aranda sp.,× Aranda,sp.,,,,,,,Orchidaceae,1,1,0
× Ascocenda × Vanda yip Sum Wah × coerulea,× Ascocenda,× Vanda yip Sum Wah × coerulea,,,,,,,Orchidaceae,1,0,0
× Ascocenda peggy Foo,× Ascocenda,peggy Foo,,,,,,,Orchidaceae,1,0,0
× Ascocenda sp.,× Ascocenda,sp.,,,,,,,Orchidaceae,1,0,0
× Ascocenda sp. Yip Sum Wah gx,× Ascocenda,sp.,gx,Yip Sum Wah,,,,,Orchidaceae,1,0,0
× Brassidium sp. Gilded Urchin gx,× Brassidium,sp.,gx,Gilded Urchin,,,,,Orchidaceae,1,0,0
× Brassocattleya lindleyana,× Brassocattleya,lindleyana,,,,,,,Orchidaceae,1,0,0
× Brassocattleya sp. Digbyano-mossiae gx,× Brassocattleya,sp.,gx,Digbyano-mossiae,,,,,Orchidaceae,2,0,0
× Brassocattleya sp. Heaven's Sake gx,× Brassocattleya,sp.,gx,Heaven's Sake,,,,,Orchidaceae,1,0,0
× Brassocattleya sp. Holfordii gx,× Brassocattleya,sp.,gx,Holfordii,,,,,Orchidaceae,1,0,0
× Brassocattleya sp. Sea Urchin gx,× Brassocattleya,sp.,gx,Sea Urchin,,,,,Orchidaceae,1,0,0
× Brassolaeliocattleya sp. Memoria Crispin Rosales gx 'Teddy',× Brassolaeliocattleya,sp.,gx,Memoria Crispin Rosales,,,,,Orchidaceae,1,0,0
× Brassolaeliocattleya sp. Spangles gx,× Brassolaeliocattleya,sp.,gx,Spangles,,,,,Orchidaceae,1,0,0
× Cattleytonia kieth Roth × Broughtonia sanguinea,× Cattleytonia,kieth Roth × Broughtonia sanguinea,,,,,,,Orchidaceae,1,0,0
× Chitalpa tashkentensis Pink Dawn,× Chitalpa,tashkentensis,,,,,,,Bignoniaceae,20,0,0
× Colmanara sp. Wildcatt gx,× Colmanara,sp.,gx,Wildcatt,,,,,Orchidaceae,1,0,0
× Dialaelia snowflake,× Dialaelia,snowflake,,,,,,,Orchidaceae,1,0,0
× Doritaenopsis sp.,× Doritaenopsis,sp.,,,,,,,Orchidaceae,1,0,0
× Doritaenopsis sp. Malibu Queen gx,× Doritaenopsis,sp.,gx,Malibu Queen,,,,,Orchidaceae,1,0,0
× Doritaenopsis sp. var. Dunbar,× Doritaenopsis,sp.,var.,Dunbar,,,,,Orchidaceae,1,0,0
× Graptoveria sp. Fred Ives gx,× Graptoveria,sp.,gx,Fred Ives,,,,,Crassulaceae,1,0,0
× Kirchara (Slc. Shimonishi × Epi. Joseph Lii),× Kirchara,(Slc. Shimonishi × Epi. Joseph Lii),,,,,,,Orchidaceae,1,0,0
× Laeliocattleya glad Tidings,× Laeliocattleya,glad Tidings,,,,,,,Orchidaceae,1,0,0
× Laeliocattleya marie Speransky,× Laeliocattleya,marie Speransky,,,,,,,Orchidaceae,1,0,0
× Laeliocattleya purpurata var. carnea,× Laeliocattleya,purpurata,var.,carnea,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp.,× Laeliocattleya,sp.,,,,,,,Orchidaceae,2,0,0
× Laeliocattleya sp. C G Roebling gx,× Laeliocattleya,sp.,gx,C G Roebling,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp. Clayton Wagley gx,× Laeliocattleya,sp.,gx,Clayton Wagley,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp. Schilleriana gx,× Laeliocattleya,sp.,gx,Schilleriana,,,,,Orchidaceae,1,0,0
× Laeliocattleya sp. Wrigleyi gx,× Laeliocattleya,sp.,gx,Wrigleyi,,,,,Orchidaceae,1,0,0
× Neostylis Lou Sneary,× Neostylis,Lou Sneary,,,,,,,Orchidaceae,1,0,0
× Neostylis sp. Lou Sneary gx,× Neostylis,sp.,gx,Lou Sneary,,,,,Orchidaceae,1,0,0
× Northenara sp. Rebecca gx,× Northenara,sp.,gx,Rebecca,,,,,Orchidaceae,1,0,0
× Odontioda debutante 'Oxbow',× Odontioda,debutante,,,,,,,Orchidaceae,1,0,0
× Odontioda pacheco,× Odontioda,pacheco,,,,,,,Orchidaceae,1,0,0
× Odontocidium sp. Sierra Gold gx 'Finch',× Odontocidium,sp.,gx,Sierra Gold,,,,,Orchidaceae,1,0,0
× Opsistylis sp. Memorial Mary Nattras gx,× Opsistylis,sp.,gx,Memorial Mary Nattras,,,,,Orchidaceae,2,0,0
× Renanetia sp.,× Renanetia,sp.,,,,,,,Orchidaceae,1,0,0
× Renantanda sp.,× Renantanda,sp.,,,,,,,Orchidaceae,1,0,0
× Sophrolaelia sp. Psyche gx 'Prolific',× Sophrolaelia,sp.,gx,Psyche,,,,,Orchidaceae,1,0,0
× Sophrolaeliocattleya Jewel Box Greens gx,× Sophrolaeliocattleya,Jewel Box,gx,Greens,,,,,Orchidaceae,1,0,0
× Sophrolaeliocattleya sp. Jewel Box gx 'Scheherazade',× Sophrolaeliocattleya,sp.,gx,Jewel Box,,,,,Orchidaceae,1,0,0
× Wilsonara Jean Du Pont,× Wilsonara,Jean Du Pont,,,,,,,Orchidaceae,1,0,0
Abelia grandiflora 'Edward Goucher',Abelia,grandiflora,,,,,,,Caprifoliaceae,1,0,0
Abies abramsii,Abies,abramsii,,,,,,,Pinaceae,1,0,0
Abies bracteata,Abies,bracteata,,,,,,,Pinaceae,1,0,0
Abies concolor,Abies,concolor,,,,,,,Pinaceae,4,0,0
Abies durangensis subsp. coahuilensis,Abies,durangensis,subsp.,coahuilensis,,,,,Pinaceae,1,0,0
Abies equi-trojani,Abies,equi-trojani,,,,,,,Pinaceae,1,0,0
Abies firma,Abies,firma,,,,,,,Pinaceae,2,0,0
Abies fraseri,Abies,fraseri,,,,,,,Pinaceae,1,0,0
Abies koreana,Abies,koreana,,,,,,,Pinaceae,1,0,0
Abies nordmanniana,Abies,nordmanniana,,,,,,,Pinaceae,1,0,1
Abies numidica,Abies,numidica,,,,,,,Pinaceae,1,0,0
Abies pindrow,Abies,pindrow,,,,,,,Pinaceae,1,0,0
Abies pinsapo,Abies,pinsapo,,,,,,,Pinaceae,1,0,0
Abies sachalinensis,Abies,sachalinensis,,,,,,,Pinaceae,2,0,0
Abies vejarii,Abies,vejarii,,,,,,,Pinaceae,1,0,0
Abromeitiella brevifolia,Abromeitiella,brevifolia,,,,,,,Bromeliaceae,1,0,0
Abronia maritima,Abronia,maritima,,,,,,,Nyctaginaceae,2,1,0
Abronia umbellata var. umbellata,Abronia,umbellata,var.,umbellata,,,,,Nyctaginaceae,1,1,0
Abronia villosa var. villosa,Abronia,villosa,var.,villosa,,,,,Nyctaginaceae,1,1,0
Abutilon,Abutilon,,,,,,,,Malvaceae,1,0,0
Abutilon palmeri,Abutilon,palmeri,,,,,,,Malvaceae,2,0,0
Abutilon sachetianum,Abutilon,sachetianum,,,,,,,Malvaceae,1,0,0
Acacia,Acacia,,,,,,,,Fabaceae,1,0,0
Acacia abyssinica,Acacia,abyssinica,,,,,,,Fabaceae,1,0,0
Acacia albida,Acacia,albida,,,,,,,Fabaceae,6,1,0
Acacia amythethophylla,Acacia,amythethophylla,,,,,,,Fabaceae,2,0,0
